original,disfluent
Some elements of the Brotherhood directed what action against the government?,Some elements of the Brotherhood directed what action against Al-Banna oh I mean the government?
What type of numbers are always multiples of 2?,What type of numbers are always multiples of 5 err rather 2?
 What have many HT members failed to to join?,Where did HT or what have many HT members failed to to join?
When is the amphitheatre open?,When is the park errmm I mean amphitheatre open?
Where is the famous rock the Rhine flows around?,Where is the gorge between Koblenz and where is the famous rock the Rhine flows around?
Who explored Ohio territory in 1750?,Who explored Ohio territory in 1570 or actually 1750?
Who founded the Ming dynasty?,What Jewish sorry first who founded the Ming dynasty?
What do NK cells protect?,What part no What do NK cells protect?
How many scientists called to change the IPCC in Feb 2010?,How many scientists called to dump or uh change the IPCC in Feb 2010?
How many firms were there in 2011?,How many women no firms were there in 2011?
What trend increases the organic composition of capital over the long term?,Which or no actually what trend increases organic composition of capital over the long term?
What were two of Fresno's most beautiful architectural buildings that are now demolished?,What were two of San Joaquin's most beautiful architectural buildings that are now demolished no sorry scratch San Joaquin I meant Fresno's most beautiful architectural buildings that are now demolished?
"Besides public key cryptography, what is another application for prime numbers?","Besides public key cryptography, what is another application for numbers, uh, prime numbers?"
Where does the pattern of higher income-longer lives still hold true?,Where does the pattern of lower income-longer lives still hold true no correction I meant higher income-longer lives?
From 2004 to 2005 Harvard reduced the number of students earning Latin honors from 90% to what?,From 2004 to 2005 Harvard reduced the number of students earning Latin honors from 60% to what no sorry from 90% to what?
What kind of member what the University to the Big Twelve Conference?,When did er what kind of member what the University to the Big Twelve Conference?
Who is the CEO of Microsoft and also served as Governor in NJ?,"Who is the CEO of McKinsey & Company, sorry, Microsoft and also served as Governor in NJ?"
